Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
2014,"Brad Penny","MIA",26,9.227551404167624,,6.3534998297691345,3.346272750334306,,5.414390359970337,,-6.641280110677084,,,,,,"Brad Penny",535,207267
2014,"Jeremy Affeldt","SFG",55.1,,,,,,5.419138032356194,,-8.15130615234375,,,1.582732402103048,,,"Jeremy Affeldt",583,346793
2014,"Jamey Wright","LAD",70.1,6.684999942779541,,3.732838863227725,,,5.2170232235234675,0.16218750178813934,-7.541527354389156,,,0.939182698726654,,,"Jamey Wright",715,124604
2014,"Grant Balfour","TBR",62.1,12.014039088156814,,11.759062767028809,,,10.893332926432292,3.981812951160453,-1.1564077729160347,,,8.39625072479248,,,"Grant Balfour",718,346797
2014,"LaTroy Hawkins","COL",54.1,6.6101255511293315,,,,,3.5071427481515065,3.0095834443063447,-4.8536766639122595,,,6.430778079562717,,,"LaTroy Hawkins",729,115629
2014,"Kyle Lohse","MIL",198.1,10.417272394353693,,,,,8.60307071329441,2.2402705694669534,-7.52345382137883,,,4.387617979998364,,,"Kyle Lohse",739,346798
2014,"Bruce Chen","KCR",48.1,10.240240993269955,,,,,8.845555623372396,4.711226906475082,-5.6202702908902555,,-6.2751515706380205,6.598104638991013,,,"Bruce Chen",769,136600
2014,"Scott Downs","- - -",38,,,,,,5.051244217129896,1.0475701305353753,-7.593958324856228,,,,,,"Scott Downs",773,275933
2014,"Randy Choate","STL",36,0.07000001668930053,,,,,-3.8969923847853534,3.340424436430691,,,,,,,"Randy Choate",813,329092
2014,"Scott Carroll","CHW",129.1,6.377076885516827,,3.2752200912379617,,,2.297127376054135,-0.08444442446269686,-2.6899999586202332,,,0.7831304577813633,,,"Scott Carroll",888,453222
2014,"Tim Hudson","SFG",189.1,6.789715662951718,,0.7232539585658482,0.16089372128104243,,2.694004699087627,,-4.6151486660571805,,,,,,"Tim Hudson",921,218596
2014,"Randy Wolf","MIA",25.2,10.201030770527948,,11.754286221095494,,,9.236029456643497,0.2398113394683262,-9.055679321289062,,-8.899999618530273,8.143333435058594,,,"Randy Wolf",976,150116
2014,"Bronson Arroyo","ARI",86,7.604999796549479,,,,,3.1969605637312384,1.7973664261912572,0.458364762600113,,,1.088195456598038,,,"Bronson Arroyo",978,276520
2014,"Joe Beimel","SEA",45,7.2711383688038795,,,,,2.7758475229249777,-0.32414471475701584,-5.202962804723669,,,4.833599853515625,,,"Joe Beimel",979,346847
2014,"Ryan Vogelsong","SFG",184.2,8.286018352556109,,,,,5.959181598921264,7.228402879503038,-4.454567884011244,,,5.720405960993436,,,"Ryan Vogelsong",1011,285064
2014,"Jake Peavy","- - -",202.2,9.123779951407506,,5.422689195224437,3.584418718204942,,5.795295292235018,1.6868473297269473,-1.770775623268698,,,2.049778618055956,,,"Jake Peavy",1051,408241
2014,"Rafael Soriano","WSN",62,8.628146229619565,,6.642571585518973,,,5.945795266025038,2.301107043007943,-1.2007142475673132,,,4.59499979019165,,,"Rafael Soriano",1100,400089
2014,"Marco Estrada","MIL",150.2,11.98576384261727,,,,,,,-6.45307232960161,,,9.517196431179071,,,"Marco Estrada",1118,462136
2014,"Joe Nathan","DET",58,10.698090252004157,,10.858000183105469,,,6.048107172818792,3.2195618644593256,-1.850436217032823,,,6.455999755859375,,,"Joe Nathan",1122,150274
2014,"Jerome Williams","- - -",115,6.964556695997101,,4.249508266761655,,,4.381901268549331,-0.7015294271356919,-2.410322496967931,,,4.3662499766195975,,,"Jerome Williams",1137,425532
2014,"Tommy Hunter","BAL",60.2,10.423385763616771,,6.924179304891558,,,7.551752949140936,,-2.7795304132739145,,,2.816666603088379,,,"Tommy Hunter",1157,488984
2014,"Adam Ottavino","COL",65,4.577914671111253,,,,,3.234722137451172,-2.395895847402996,,,,1.3662500381469727,,,"Adam Ottavino",1247,493603
2014,"Colby Lewis","TEX",170.1,10.646584388250163,,,,,6.87681837205763,1.9668736449994868,-5.747432674373592,,,7.507981203915028,,,"Colby Lewis",1259,407890
2014,"Evan Reed","DET",32.1,9.311242838541666,,,,,1.8709090839732776,-1.0232815797301544,,,,4.717888726128472,,,"Evan Reed",1349,519175
2014,"Nick Hagadone","CLE",23.1,12.194427257275763,,,,,11.329999923706055,-2.4736584919254954,,,,,,,"Nick Hagadone",1351,444935
2014,"Charlie Furbush","SEA",42.1,7.9934701492537314,,,,,2.363277859157986,-1.6777283676027313,-5.3555276658799915,,,1.4600000381469727,,,"Charlie Furbush",1370,518703
