Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2014,"Junichi Tazawa","BOS",63,0.56186613,,,,0.2535497,,0.0811359,0.10344828,,,,,,,"Junichi Tazawa",4079,547749
2014,"James Russell","- - -",57.2,0.29682366,,0.07995619,,,0.17305586,0.20153341,0.07667032,,,0.17196057,,,,"James Russell",4089,460701
2014,"Luke Gregerson","OAK",72.1,0.05231388,,0.00503018,,,0.40140845,0.46981891,0.00704225,,,0.06438632,,,,"Luke Gregerson",4090,502381
2014,"Carlos Villanueva","CHC",77.2,0.30727131,,,,,0.16731822,0.20093823,0.1555903,,0.00156372,0.16731822,,,,"Carlos Villanueva",4138,453646
2014,"Derek Holland","TEX",37,0.01052632,,,,,0.56666667,0.22631579,,0.11929825,,0.07719298,,,,"Derek Holland",4141,502706
2014,"Jake Arrieta","CHC",156.2,0.23495226,,0.00041511,,,0.23785803,0.29265255,0.17766708,,,0.05645496,,,,"Jake Arrieta",4153,453562
2014,"Jered Weaver","LAA",213.1,0.23900688,,0.04457074,,,0.22704158,0.09991026,0.194137,,,0.19533353,,,,"Jered Weaver",4235,450308
2014,"David Huff","- - -",59,0.54808687,,0.31540848,,,0.00103413,0.0196484,0.0041365,,,0.11168563,,,,"David Huff",4257,453307
2014,"Mark Melancon","PIT",71,0.23505155,,0.5185567,0.00618557,,,,,0.24020619,,,,,,"Mark Melancon",4264,453343
2014,"Manny Parra","CIN",36.2,0.4448,,,0.128,,0.0064,0.4208,,,,,,,,"Manny Parra",4279,448159
2014,"Justin Wilson","PIT",60,0.55004955,,0.22200198,,,0.15659068,,0.0654113,,,0.00594648,,,,"Justin Wilson",4301,458677
2014,"Aaron Poreda","TEX",21.1,0.65479452,,,,,0.04109589,0.28219178,,,,0.02191781,,,,"Aaron Poreda",4313,519145
2014,"Tyler Chatwood","COL",24,0.35694051,,,,,0.45892351,0.12181303,0.04815864,,,0.01416431,,,,"Tyler Chatwood",4338,543022
2014,"Craig Breslow","BOS",54.1,0.31995885,,,,,0.28600823,0.19032922,0.05246914,,,0.15123457,,,,"Craig Breslow",4363,444520
2014,"Joe Saunders","- - -",43,0.57413998,,,,,0.06642942,0.14946619,0.08185053,,,0.12811388,,,,"Joe Saunders",4366,434578
2014,"Jeremy Hellickson","TBR",63.2,0.44897959,,0.00340136,,,0.07823129,,0.18792517,,,0.28146259,,,,"Jeremy Hellickson",4371,476451
2014,"Brad Mills","- - -",20.2,0.5496368,,0.06779661,,,,,0.17675545,,,0.20581114,,,,"Brad Mills",4420,502166
2014,"Jonathon Niese","NYM",187.2,0.33942652,,0.13046595,,,0.26057348,0.00035842,0.16953405,,,0.09964158,,,,"Jonathon Niese",4424,477003
2014,"Jordan Zimmermann","WSN",199.2,0.69900583,,,,,0.00479945,0.18375043,0.07987659,,,0.03256771,,,,"Jordan Zimmermann",4505,519455
2014,"Jason Hammel","- - -",176.1,0.41594828,,,,,0.17492816,0.31824713,0.05423851,,,0.03663793,,,,"Jason Hammel",4538,434628
2014,"Matt Lindstrom","CHW",34,0.1009009,,,,,0.42162162,0.35135135,0.11351351,,,0.01261261,,,,"Matt Lindstrom",4604,434637
2014,"Joe Thatcher","- - -",30.1,0.66666667,,0.0994152,,,,0.23391813,,,,,,,,"Joe Thatcher",4620,491159
2014,"Brandon McCarthy","- - -",200,0.13652893,,0.18413223,0.00198347,,0.43867769,,0.23867769,,,,,,,"Brandon McCarthy",4662,435221
2014,"Sam LeCure","CIN",56.2,0.17975207,,,,,0.38326446,0.03822314,,0.29855372,,0.10020661,,,,"Sam LeCure",4664,459967
2014,"Charlie Morton","PIT",157.1,0.08028904,,,0.07346447,,0.59654757,,0.24969892,,,,,,,"Charlie Morton",4676,450203
2014,"Pat Neshek","STL",67.1,,,,,,0.52604699,0.33912155,,,,0.13483146,,,,"Pat Neshek",4682,450212
2014,"Jeff Francis","- - -",20,0.00974026,,,,,0.49025974,0.16883117,0.20779221,,,0.12337662,,,,"Jeff Francis",4684,433585
