Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2015,"Bryan Mitchell","NYY",8.797755825687648,4.853934248655254,1.8125,1.2134835621638136,0.2027972,0.11188811,0.09090909,0.296,1.7865174665189478,0.358695652173913,0.62753036,157.39835968455228,113.54875608523764,100.04291512325263,6.370788701360022,4.751571832885085,1.619216868474937,4.0433408547422305,3.964900440207336,"Bryan Mitchell",11479,571951
2022,"Brent Suter","MIL",7.155001091766524,2.9700004531861044,2.40909091,1.2150001853943153,0.19485294,0.08088235,0.11397059,0.23481781376518218,1.2000001831054967,0.2648648648648649,0.72443182,93.48345199991684,109.25843448687186,104.62194220740493,3.7800005767823146,4.402431198501617,-0.6224306217193023,4.179613497599196,3.9646083982287585,"Brent Suter",13942,608718
2015,"Adam Warren","NYY",7.126903415294523,2.6725887807354463,2.66666667,0.6852791745475503,0.19475655,0.07303371,0.12172285,0.2336065573770492,1.1649745967308356,0.27807486631016043,0.74657534,81.26728897606712,85.6300043573262,97.9700222778769,3.2893400378282416,3.5904465330317006,-0.301106495203459,3.9601665176071017,3.963603226558992,"Adam Warren",9029,476589
2016,"Alex Reyes","STL",10.173913043478262,4.5,2.26086957,0.1956521739130435,0.27513228,0.12169312,0.15343915,0.19879518072289157,1.2173913043478262,0.2831858407079646,0.87912088,38.3830554118897,65.67053870055476,98.06927863301458,1.565217391304348,2.6682995132778005,-1.1030821219734526,4.051291564495667,3.9632914805772272,"Alex Reyes",15015,621052
2021,"Trevor Stephan","CLE",10.657895592771478,4.405263511678878,2.41935484,2.1315791185542956,0.26595745,0.10992908,0.15602837,0.23387096774193547,1.4052632707506096,0.2721518987341772,0.84507042,104.01881294659545,129.8697508814535,106.31537800560102,4.405263511678878,5.491086940448385,-1.0858234287695074,4.557232398303797,3.9625922737960444,"Trevor Stephan",19932,663986
2023,"Domingo Germán","NYY",9.441718012376048,2.8159509861472425,3.35294118,1.6564417565572014,0.25675676,0.07657658,0.18018018,0.20544554455445543,1.076687141762181,0.23333333333333334,0.65263158,106.14952132601428,105.5801810507655,94.31130361352557,4.555214830532304,4.653813398367596,-0.09859856783529253,4.0413178798507925,3.962463444060495,"Domingo German",17149,593334
2024,"Carmen Mlodzinski","PIT",8.17105304171176,3.375000169402683,2.42105263,0.5328947635898973,0.22009569,0.09090909,0.1291866,0.21808510638297873,1.1842105857553273,0.2733812949640288,0.69204152,79.94773068144437,82.95817425650625,102.69954661540208,3.375000169402683,3.363848209249016,0.011151960153667151,4.175751780193815,3.9615174645761537,"Carmen Mlodzinski",27572,669387
2014,"James Russell","- - -",6.5549153183251185,3.121388246821485,2.1,0.4682082370232228,0.17647059,0.08403361,0.09243698,0.2073732718894009,1.1271679780188697,0.2441860465116279,0.74433657,81.39686960553522,93.83989381580064,111.04643065498355,2.965318834480411,3.444390993337544,-0.47907215885713317,4.0969241802217375,3.96132709974912,"James Russell",4089,460701
2016,"Gio González","WSN",8.678571677489652,2.994360988139704,2.89830508,0.9642857419432946,0.22352941,0.07712418,0.14640523,0.2568149210903874,1.3421053016520708,0.3155818540433925,0.67604356,107.58962549800388,90.9760152067585,91.95066171399633,4.567669303941922,3.7612220546080413,0.8064472493338806,3.796022695780512,3.961065012529906,"Gio Gonzalez",7448,461829
2022,"Lance McCullers Jr.","HOU",9.440559944236059,4.153846375463866,2.27272727,0.7552447955388847,0.25641026,0.11282051,0.14358974,0.2138728323699422,1.2377623037998389,0.2773109243697479,0.88014981,59.090172018268994,89.12672374667295,90.5970645006959,2.265734386616654,3.4900533994326506,-1.2243190128159966,3.5792989430140354,3.9602206098482196,"Lance McCullers Jr.",14120,621121
2023,"David Peterson","NYM",10.378378467545883,4.054054088885111,2.56,1.2972973084432353,0.2601626,0.10162602,0.15853659,0.28440366972477066,1.567567581035576,0.3698630136986301,0.73604061,119.7384414697103,99.633874423169,82.10275819110889,5.027027070217537,4.336121449866433,0.6909056203511037,3.59427219394505,3.960193790238518,"David Peterson",20302,656849
2016,"Chad Qualls","COL",6.061227085093982,2.4795928984475384,2.44444444,1.3775516102486323,0.14473684,0.05921053,0.08552632,0.3006993006993007,1.5918374162873086,0.3275862068965517,0.66666667,108.5873972999903,104.76093248191445,100.57393721968313,5.234696118944803,4.615948767108225,0.6187473518365776,4.155785990670523,3.9598054696562777,"Chad Qualls",2170,430589
2016,"Antonio Bastardo","- - -",9.842366566512991,4.256158515248861,2.3125,1.4630544896167959,0.24915825,0.10774411,0.14141414,0.22988505747126436,1.359606192371164,0.2784090909090909,0.73200993,114.02015038232167,114.49427879911464,114.13440697178058,4.522168422451915,4.668728185171603,-0.14655976271968818,4.721529167384944,3.9596477110911623,"Antonio Bastardo",8844,455374
2019,"Zack Greinke","- - -",8.065494421280013,1.2939295863016063,6.23333333,0.9057507104111244,0.2308642,0.03703704,0.19382716,0.22551546391752578,0.9824280192289974,0.2711267605633803,0.75723831,65.69773175940955,73.08559283187368,83.52054654894121,2.932907062283641,3.218801807509125,-0.28589474522548386,3.740818670358462,3.9591838127325794,"Zack Greinke",1943,425844
2018,"Anthony DeSclafani","CIN",8.452173913043477,2.347826086956522,3.6,1.8782608695652174,0.2231405,0.06198347,0.16115702,0.2610619469026549,1.2869565217391303,0.29375,0.70446735,119.49681800608157,115.63686428465925,94.7622802651056,4.930434782608696,4.829996793166451,0.10043798944224491,3.8547396355349086,3.9576459884605844,"Anthony DeSclafani",13050,543101
2020,"Jonathan Loáisiga","NYY",8.608695652173912,2.739130434782609,3.14285714,1.173913043478261,0.22,0.07,0.15,0.23595505617977527,1.2173913043478262,0.28125,0.75539568,80.20725437716443,98.11193212018513,92.94105377546285,3.5217391304347827,4.40881061968596,-0.8870714892511775,4.1384101441373,3.9572934543166784,"Jonathan Loaisiga",19753,642528
2014,"Roenis Elías","SEA",7.863543543812317,3.5193481594684495,2.234375,0.8798370398671124,0.20634921,0.09235209,0.11399711,0.24433656957928804,1.313645580357147,0.29411764705882354,0.73182711,104.68910539940795,108.09960029212347,104.26483292596664,3.8492870494186167,4.030419146853073,-0.18113209743445635,3.9527086382683265,3.9571392224310844,"Roenis Elias",12673,606273
2024,"Trevor Williams","WSN",7.9650003038406485,2.430000092697147,3.27777778,0.4050000154495245,0.22692308,0.06923077,0.15769231,0.21074380165289255,1.0350000394821182,0.26666666666666666,0.80246914,49.43008104797622,68.8701096647214,94.02446207047149,2.0250000772476224,2.79147976398468,-0.7664796867370574,3.816768755722639,3.9571346158299097,"Trevor Williams",16977,592866
