Season,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
2019,"Yency Almonte","COL",34,-13.950183056294918,,,,,0.4785854145884514,7.359822928905487,,,,-0.34727197512984276,,,"Yency Almonte",15068,622075
2019,"Hunter Wood","- - -",45.1,0.8458852097392082,,,,,,0.49676548689603806,0.35997284948825836,,,0.3732278160750866,,,"Hunter Wood",15091,621056
2019,"Jake Newberry","KCR",31,-8.222645569592714,,,,,0.3045950047671795,5.151550553739071,,,,0.45484762266278267,,,"Jake Newberry",15136,623470
2019,"Jimmy Yacabonis","BAL",41,-2.2355295419692993,,,,,-7.519115544855595,-0.6374635174870491,,,,-0.18959634751081467,,,"Jimmy Yacabonis",15157,642231
2019,"Glenn Sparkman","KCR",136,-2.58516376465559,,0.2571459710597992,,,,-7.1218173541128635,-8.66271623596549,,,-4.1956875547766685,,,"Glenn Sparkman",15200,642098
2019,"Tyler Bashlor","NYM",22,0.12417962029576302,,,,,,0.8486458770930767,,,,-1.516263209283352,,,"Tyler Bashlor",15203,641341
2019,"Kevin McCarthy","KCR",60.1,2.6024596616625786,,,,,-4.205150566995144,1.4486972019076347,1.3880033679306507,,,0.6911887153983116,,,"Kevin McCarthy",15240,641838
2019,"Zac Reininger","DET",28,-5.715685162693262,,,,,-5.167794719338417,-0.8613649308681488,-6.066129833459854,,,0.24978070706129074,,,"Zac Reininger",15285,643617
2019,"Adam Cimber","CLE",56.2,-2.757190376520157,,,,,6.574867602437735,0.22040531411767006,,,,,,,"Adam Cimber",15288,643256
2019,"Austin Pruitt","TBR",47,-3.4723623134195805,,,,,-2.826930493116379,5.384800974279642,-1.5991138890385628,,,4.559398725628853,,,"Austin Pruitt",15290,643493
2019,"Steven Brault","PIT",113.1,-6.103725370019674,,5.3265733905136585,,,-0.2246331013739109,-2.5891989693045616,-0.46769246086478233,,,1.5338344015181065,,,"Steven Brault",15291,643230
2019,"Andrew Heaney","LAA",95.1,,,,,,7.833213102072477,,-3.772902324795723,,,-3.497653093189001,,,"Andrew Heaney",15423,571760
2019,"Matthew Boyd","DET",185.1,0.06785239279270172,,-0.27361148595809937,,,-2.647356905043125,9.627413645386696,-3.8299736194312572,,,-2.0415232479572296,,,"Matthew Boyd",15440,571510
2019,"Nick Pivetta","PHI",93.2,-13.207165349274874,,,,,-1.485145103186369,1.8102481290698051,,1.2326030917465687,,-0.3343120254576206,,,"Nick Pivetta",15454,601713
2019,"Marco Gonzales","SEA",203,5.101001743227243,,-0.11272190883755684,,,,,-2.039464272558689,,,5.857679072767496,,,"Marco Gonzales",15467,594835
2019,"Lucas Giolito","CHW",176.2,21.19425843656063,,,,,,2.165492344647646,-4.352511897683144,,,14.875873252749443,,,"Lucas Giolito",15474,608337
2019,"Antonio Senzatela","COL",124.2,-13.311678726226091,,,,,,-1.9583184942603111,-0.8299342580139637,,,-4.6261357590556145,,,"Antonio Senzatela",15488,622608
2019,"Kohl Stewart","MIN",25.1,0.47515103220939636,,,,,-3.9217237755656242,2.075581945478916,-0.9376354962587357,,,-1.1517957970499992,,,"Kohl Stewart",15502,640464
2019,"Chad Green","NYY",69,3.589940767735243,,,-1.7002133131027222,,-0.10958481207489967,0.8058711513876915,,,,,,,"Chad Green",15552,643338
2019,"Nick Wittgren","CLE",57.2,7.002747476100922,,,,,,-1.4945292957127094,0.06530402600765228,,,-0.33906567841768265,,,"Nick Wittgren",15594,621295
2019,"Yefry Ramírez","- - -",24.1,-1.1216088272631168,,,,,-3.597792450338602,-2.364588938653469,-1.8345111459493637,,,1.7109853476285934,,,"Yefry Ramirez",15655,606162
2019,"Miguel Castro","BAL",73.1,,,,,,-7.2224436439573765,6.077709823846817,,,,3.9154860079288483,,,"Miguel Castro",15684,612434
2019,"Luis Castillo","CIN",190.2,-3.4554415345191956,,,,,9.450448177754879,-0.16168593242764473,,,,27.730822011828423,,,"Luis Castillo",15689,622491
2019,"Jimmy Cordero","- - -",37.1,0.5369023345410824,,-1.4459079653024673,,,4.251850102096796,-0.4615446887910366,,,,6.136393062770367,,,"Jimmy Cordero",15690,622772
2019,"Brad Keller","KCR",165.1,3.1251205280423164,,,,,0.5668849311769009,10.332753390073776,,,,-0.33483899757266045,,,"Brad Keller",15734,641745
2019,"Joe Jiménez","DET",59.2,1.7841758728027344,,,,,,2.4591757357120514,,,,-6.676128890365362,,,"Joe Jimenez",15761,641729
2019,"Masahiro Tanaka","NYY",182,-10.22615148127079,,-1.3411897532641888,-1.3609213344752789,,-5.276454158127308,20.837952367961407,-0.7250350080430508,,,,,,"Masahiro Tanaka",15764,547888
2019,"Dario Agrazal","PIT",73.1,-2.236407119780779,,,,,0.8068764321506023,-6.164750959724188,,,,1.1266622357070446,,,"Dario Agrazal",15821,642607
2019,"Zack Littell","MIN",37,1.7361984439194202,,,,,-0.5679649710655212,7.990187089890242,-2.2027734108269215,,,-1.465234413743019,,,"Zack Littell",15823,641793
2019,"Paul Fry","BAL",57.1,1.4246859773993492,,,,,,-1.4907502681016922,,,,0.6372556202113628,,,"Paul Fry",15832,643316
2019,"Adam Plutko","CLE",109.1,-1.6253505274653435,,1.4656610079109669,,,,-0.09947433322668076,1.87558638677001,,,-3.3682916462421417,,,"Adam Plutko",15846,592644
2019,"Wander Suero","WSN",71.1,-0.5977901592850685,,7.980376843363047,,,,,-3.479493588209152,,,5.848650265485048,,,"Wander Suero",15855,593833
2019,"Stephen Tarpley","NYY",24.2,-0.5738127380609512,,,,,-9.527685575187206,2.089013870805502,-0.7555236108601093,,,-0.15863126516342163,,,"Stephen Tarpley",15859,605501
2019,"Sean Manaea","OAK",29.2,,,,,,8.354813270270824,-0.22942378744482994,-0.15127568691968918,,,3.155657771974802,,,"Sean Manaea",15873,640455
2019,"Lewis Thorpe","MIN",27.2,-0.8527423329651356,,,,,,4.179369393736124,-3.399199139326811,,,-3.846154246479273,,,"Lewis Thorpe",15906,626929
2019,"Ryne Stanek","- - -",77,-0.7939027212560177,,,4.9276293478906155,,,2.384962175041437,,,,,,,"Ryne Stanek",15947,592773
2019,"Stefan Crichton","ARI",30.1,0.10939359292387962,,,,,3.09070648252964,0.05465850979089737,3.9884747974574566,,,0.04749621823430061,,,"Stefan Crichton",16058,592233
2019,"Cy Sneed","HOU",21.1,-1.302298080176115,,0.6101005412638187,,,-0.4929044283926487,-1.0487791672348976,0.7617500461637974,,,-1.0696211718022823,,,"Cy Sneed",16106,605482
2019,"Daniel Ponce de Leon","STL",48.2,8.4266815520823,,-0.8252936378121376,,,,-0.023833870887756348,0.24250029772520065,,,-0.43009310960769653,,,"Daniel Ponce de Leon",16110,594965
2019,"David Hess","BAL",80,-13.070591676980257,,,,,-0.028159920126199722,-5.480151604861021,-0.9879799112677574,,,-4.133646968752146,,,"David Hess",16130,605276
2019,"Justin Shafer","TOR",39.2,1.9968800209462643,,0.05687794089317322,,,0.6154394187033176,-6.799023915082216,,,,,,,"Justin Shafer",16132,596101
2019,"Carlos Rodón","CHW",34.2,-7.037970568984747,,,,,-0.06573854386806488,5.614089302718639,,,,1.075486734509468,,,"Carlos Rodon",16137,607074
2019,"Aaron Nola","PHI",202.1,-5.358741775155067,,,,,0.6628468446433544,,,15.491243224591017,,4.03118035569787,,,"Aaron Nola",16149,605400
2019,"Eric Skoglund","KCR",21,-1.6249109990894794,,,,,-3.5979919359087944,,-2.3375876918435097,,,-1.056465271860361,,,"Eric Skoglund",16155,607215
2019,"Jace Fry","CHW",55,1.1347885727882385,,2.4112197905778885,,,-0.5976802967488766,,-4.0731113366782665,,,3.1479573100805283,,,"Jace Fry",16159,605240
