Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2022,"Tyler Gilbert","ARI",34.1,0.2627451,0.66343042,0.4822695,0.70149254,0.86829268,0.82720588,0.54787234,19.96889952,"Tyler Gilbert",17964,656457
2022,"Nabil Crismatt","SDP",67.1,0.3424408,0.61208577,0.47269303,0.58510638,0.85350318,0.75298805,0.48305085,19.96794872,"Nabil Crismatt",17732,622503
2024,"JT Chargois","- - -",36.1,0.24521073,0.69029851,0.47069943,0.46875,0.88648649,0.77911647,0.50661626,19.96596859,"JT Chargois",13767,608638
2022,"Jesús Luzardo","MIA",100.1,0.28505214,0.6453265,0.45620438,0.46341463,0.81349206,0.69866667,0.47506083,19.96521036,"Jesus Luzardo",19959,666200
2014,"Danny Farquhar","SEA",71,0.29895105,0.64221825,0.46861185,0.50292398,0.87465181,0.75471698,0.49425287,19.96310433,"Danny Farquhar",8501,543144
2023,"Jose Quintana","NYM",75.2,0.31982634,0.62267658,0.45240033,0.65158371,0.90149254,0.80215827,0.43775427,19.96251378,"Jose Quintana",11423,500779
2023,"Javier Assad","CHC",109.1,0.22517321,0.63507109,0.42748538,0.63076923,0.89179104,0.82216142,0.49356725,19.96172249,"Javier Assad",21741,665871
2023,"Austin Voth","BAL",34.2,0.29938272,0.63716814,0.47209653,0.63917526,0.83333333,0.77316294,0.51131222,19.95643564,"Austin Voth",15047,608723
2015,"Kyle Hendricks","CHC",180,0.29001468,0.56902593,0.4327716,0.64810127,0.89039409,0.81110191,0.51165292,19.95608279,"Kyle Hendricks",12049,543294
2022,"Touki Toussaint","LAA",25.1,0.25098039,0.63068182,0.40603248,0.40625,0.9009009,0.72,0.40835267,19.953125,"Touki Toussaint",16929,657053
2024,"Pete Fairbanks","TBR",45.1,0.25641026,0.60471204,0.4481268,0.575,0.86147186,0.78778135,0.55043228,19.95228628,"Pete Fairbanks",17998,664126
2023,"Yennier Cano","BAL",72.2,0.33606557,0.65406427,0.50147493,0.55487805,0.8583815,0.76078431,0.52015733,19.95205479,"Yennier Cano",25911,666974
2016,"Jonathon Niese","- - -",121,0.27382146,0.64079602,0.45804196,0.71062271,0.89751553,0.84187568,0.501998,19.95010691,"Jonathon Niese",4424,477003
2017,"Jered Weaver","SDP",42.1,0.24074074,0.65588235,0.45331325,0.64102564,0.88789238,0.82392027,0.51204819,19.94936709,"Jered Weaver",4235,450308
2017,"Christian Bergman","SEA",54,0.24250681,0.69444444,0.48685857,0.66292135,0.90666667,0.85089974,0.54067584,19.94894366,"Christian Bergman",10925,548357
2014,"Wandy Rodriguez","PIT",26.2,0.2718894,0.6059322,0.44591611,0.69491525,0.88111888,0.82673267,0.5209713,19.94848485,"Wandy Rodriguez",2586,434643
2015,"Steven Matz","NYM",35.2,0.26359833,0.58753709,0.453125,0.68253968,0.85353535,0.81226054,0.58506944,19.94774347,"Steven Matz",13361,571927
2022,"Shane Bieber","CLE",200,0.32999284,0.65155616,0.49530435,0.40130152,0.8701973,0.71839888,0.51408696,19.947343,"Shane Bieber",19427,669456
2020,"Brad Keller","KCR",54.2,0.25531915,0.65977011,0.46037296,0.57407407,0.91289199,0.82025316,0.50699301,19.93730408,"Brad Keller",15734,641745
2024,"Brendon Little","TOR",45.2,0.26628895,0.65306122,0.45689655,0.39361702,0.86160714,0.72327044,0.49281609,19.93638171,"Brendon Little",21574,663893
2023,"Andrew Chafin","- - -",51.1,0.30426716,0.60471204,0.42888165,0.47560976,0.85281385,0.69620253,0.41476656,19.9352518,"Andrew Chafin",12988,605177
2023,"Jason Foley","DET",69,0.30923695,0.64116576,0.48328558,0.7012987,0.91477273,0.84980237,0.5243553,19.93481095,"Jason Foley",19531,671345
2023,"José Alvarado","PHI",41.1,0.32345013,0.66307278,0.49326146,0.50833333,0.77235772,0.68579235,0.5,19.93309859,"Jose Alvarado",17780,621237
2023,"Ken Waldichuk","OAK",141,0.27773407,0.66849101,0.47372549,0.5694051,0.84678363,0.76572848,0.50156863,19.93161494,"Ken Waldichuk",27681,686610
2018,"Brandon Maurer","KCR",31.1,0.2407932,0.61980831,0.41891892,0.55294118,0.83505155,0.74910394,0.46996997,19.93069307,"Brandon Maurer",4878,543506
2023,"Cristian Javier","HOU",162,0.29651545,0.68185158,0.47848716,0.61862528,0.82866379,0.75997099,0.4722415,19.92739726,"Cristian Javier",17606,664299
2017,"Michael Wacha","STL",165.2,0.24032922,0.66984993,0.47519582,0.63356164,0.84419552,0.79591837,0.54681089,19.92420414,"Michael Wacha",14078,608379
2018,"Zack Littell","MIN",20.1,0.20408163,0.67391304,0.45774648,0.675,0.87096774,0.83076923,0.5399061,19.92307692,"Zack Littell",15823,641793
2024,"Kyle Bradish","BAL",39.1,0.24846626,0.58045977,0.41988131,0.49382716,0.84653465,0.74558304,0.51632047,19.92307692,"Kyle Bradish",24586,680694
2016,"Dean Kiekhefer","STL",22,0.29189189,0.59259259,0.43227666,0.61111111,0.91666667,0.80666667,0.46685879,19.921875,"Dean Kiekhefer",10529,518883
2018,"Pablo López","MIA",58.2,0.3285124,0.64086022,0.48155954,0.64150943,0.85234899,0.77899344,0.48998946,19.92097701,"Pablo Lopez",17085,641154
2023,"Luke Jackson","SFG",33.1,0.31734317,0.67193676,0.48854962,0.47674419,0.82941176,0.7109375,0.48282443,19.91688312,"Luke Jackson",11752,592426
