Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2024,"Garrett Cleavinger","TBR",60,4.619274763100048,,-1.4644149670497977,,,9.68352783203125,-6.092748262327638,,,,,,,"Garrett Cleavinger",17897,664076
2024,"Trent Thornton","SEA",72.1,-2.9772520901864037,,1.1861934661865234,,,-7.355939511899595,5.1411161680479305,4.858140384449678,,,-7.4453261239188055,,,"Trent Thornton",17948,663423
2024,"Brock Burke","- - -",34,5.86458511857797,,,,,8.984804506655093,0.6586310623476169,,,,9.346462839657498,,,"Brock Burke",17968,656271
2024,"Peter Lambert","COL",61.1,-4.391119461059571,,1.0805120468139648,,,-7.514504750569661,1.7598888690655048,6.424883880615234,,,-7.124193044809195,,,"Peter Lambert",17969,663567
2024,"Logan Webb","SFG",204.2,-4.983481373506434,,-1.0883426666259766,,,-9.155407265563822,8.778646312040442,,,,-6.066436829229798,,,"Logan Webb",17995,657277
2024,"Pete Fairbanks","TBR",45.1,-1.625915864554558,,,,,,2.429662379421222,,,,-7.356276012602306,,,"Pete Fairbanks",17998,664126
2024,"Triston McKenzie","CLE",75.2,-1.4102057572863287,,,,,,2.3273226327269616,3.9375334198261887,,,,,,"Triston McKenzie",18000,663474
2024,"Phil Maton","- - -",64,,,1.660497535585733,,,-7.587092742919922,8.541339860882676,10.010727664665394,,,,,,"Phil Maton",18064,664208
2024,"Ryan Helsley","STL",66.1,-2.0310172583758126,,,,,,2.2418092176649305,1.9742826264480065,,,,,,"Ryan Helsley",18138,664854
2024,"Tyler Kinley","COL",64,-2.876099246231156,,,,,-7.22758674621582,-0.36554854586820745,,,,-6.086778913225446,,,"Tyler Kinley",18297,641755
2024,"Carson Fulmer","LAA",86.2,-5.264018036598383,,,,,-9.369071370209527,2.465739034016927,2.861495134307117,,,-9.028415631887594,,,"Carson Fulmer",18311,608334
2024,"Josh Staumont","MIN",24.1,-2.4916734241303944,,,,,-6.315422727350603,1.0760188139686289,5.549306233723958,,,,,,"Josh Staumont",18335,622251
2024,"Nick Anderson","KCR",35.2,-3.5576687598413277,,,,,-6.651771903838087,,0.764308476356711,,,-8.103257123161764,,,"Nick Anderson",18337,623433
2024,"Michael Soroka","CHW",79.2,-5.632384210570246,,,,,-10.196339725668913,2.1525480498398957,,,,-10.967446899414062,,,"Michael Soroka",18383,647336
2024,"Enyel De Los Santos","- - -",64,-7.207941955895142,,,,,,0.2864355627170279,,,,-9.599089699229975,,,"Enyel De Los Santos",18403,660853
2024,"Danny Young","NYM",37.2,,,2.117372989654541,,,11.483749436027736,-9.938489306104053,,,,,,,"Danny Young",18439,664849
2024,"Kenta Maeda","DET",112.1,-4.761566162109375,,-2.174077183008194,-6.341857710040983,,-9.151885986328125,3.649262559871755,5.945964044140231,,,,,,"Kenta Maeda",18498,628317
2024,"Dylan Cease","SDP",189.1,-1.8225078307929574,,1.1144231495104338,,,,1.1915103592345622,,1.3135206974835034,,-2.679380416870117,,,"Dylan Cease",18525,656302
2024,"Sam Hentges","CLE",23.2,4.807310316297743,,,,,7.723296574183872,-0.8506668599446615,-3.171090534755162,,,,,,"Sam Hentges",18548,656529
2024,"Logan Allen","ARI",28,5.081966400146484,,-1.0988153310922475,6.774213967864046,,8.867501395089286,-5.229768714126275,-4.495221773783366,,,,,,"Logan Allen",18555,663531
2024,"A.J. Minter","ATL",34.1,3.7040464102503763,,-2.266466098361545,,,,,,,,9.365997642599126,,,"A.J. Minter",18655,621345
2024,"Jake Woodford","- - -",35,-3.743511610560947,,-0.7694623753175898,,,-9.151149983870853,6.834315420567305,,,,-7.895809296638735,,,"Jake Woodford",18674,663765
2024,"Freddy Peralta","MIL",173.2,-4.698586230705206,,,,,,3.3237606186464608,1.8260103029625439,,,-9.644932077891792,,,"Freddy Peralta",18679,642547
2024,"Kolby Allard","PHI",27,4.034995291573661,,-2.355015704506322,,,8.12385236299955,,-3.8011044196362764,,,8.582046508789062,,,"Kolby Allard",18694,663465
2024,"Cody Poteet","NYY",24.1,-3.1546515718512578,,,,,-8.03887875205592,7.235518484404593,6.8297573892693775,,,-7.992502614071495,,,"Cody Poteet",18769,547001
2024,"Pedro Avila","- - -",82.2,-1.9655233836002488,,,,,-7.247454676134833,5.314430364826381,4.902076185795298,,,-1.3561775990021534,,,"Pedro Avila",18864,658648
2024,"Tommy Nance","TOR",22,-5.285604476928711,,,,,-9.619698809762287,0.6986776145107775,6.866428848140496,,,,,,"Tommy Nance",19178,667297
2024,"Dakota Hudson","COL",89,-3.644072033110119,,-0.6318951334272113,,,-8.015129305573128,-0.5761468985539465,6.214385047325721,,,-7.550628460006209,,,"Dakota Hudson",19206,641712
2024,"Mitch White","- - -",23.2,-2.975372648239136,,,,,-7.281609986957751,5.593212018694197,3.3557019233703613,,,,,,"Mitch White",19225,669952
2024,"Cole Irvin","- - -",111,7.12871185597432,,-0.6627112966745011,,,9.204178893870065,-2.057274834977256,-7.312969566995253,,,8.137655298418133,,,"Cole Irvin",19244,608344
2024,"Seranthony Domínguez","- - -",58.2,-3.2182289300962936,,,,,-8.485761369977679,3.668943593199824,,,,-8.891867955525717,,,"Seranthony Dominguez",19249,622554
2024,"Ian Hamilton","NYY",37.2,-6.335803134835881,,,,,-10.350805494520399,-0.30759050732567195,,,,,,,"Ian Hamilton",19261,641656
2024,"Jacob Webb","BAL",56.2,-6.377563770707831,,,,,,6.638793479395277,,,,-11.07916900991002,,,"Jacob Webb",19274,657097
2024,"Zac Gallen","ARI",148,-3.502768331400992,,1.0244122790051746,,,-7.161511103312175,2.0372507637793866,,1.899967600357979,,-7.4786234363871085,,,"Zac Gallen",19291,668678
2024,"Trevor Richards","- - -",65.1,-4.809862029530825,,,-7.775444666544597,,,,,,,-7.800418703100316,,,"Trevor Richards",19309,670950
2024,"Cal Quantrill","COL",148.1,,,1.1678135904033533,-5.747275783096927,,-6.569140533044962,,1.3313983779355705,,,-6.876873259848737,,,"Cal Quantrill",19312,615698
2024,"Matt Festa","- - -",23.2,-1.2756004983728582,,2.2730212492101334,,,,7.736054331064224,,,,-9.25898265838623,,,"Matt Festa",19330,670036
2024,"Richard Lovelady","- - -",34.1,6.246924253610464,,,,,10.260867798525984,-1.6461449454350727,,,,,,,"Richard Lovelady",19337,663992
2024,"A.J. Puk","- - -",71.1,7.162511745930666,,,5.676565504074096,,10.667882024905103,-3.585374635431264,,,,11.437743243049173,,,"A.J. Puk",19343,640462
2024,"Caleb Ferguson","- - -",54.1,5.6450684193604115,,-0.44982892467129615,,,9.659705452297045,-10.412918090820312,-4.318046168277138,,,,,,"Caleb Ferguson",19349,657571
2024,"Dean Kremer","BAL",129.2,-5.039755929631295,,2.48036181640625,-5.573363647460938,,-8.981944758717606,,4.4234397642074095,,,,,,"Dean Kremer",19350,665152
2024,"Lucas Erceg","- - -",61.2,-6.438924848016212,,,,,-9.535351139484066,-0.8097236806696112,,,,-10.77272325880984,,,"Lucas Erceg",19360,668674
